"route","requestedUrl","finalUrl","status","attempts","contentType","cacheControl","bytes","title","canonical","mb01Occurrences","uniqueMb01Urls","firstMb01Url","imageCount","missingImageAlt","result"
"/products/wall-cabinet-w3042-313/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3042-313/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3042-313/","200","1","text/html; charset=utf-8","max-age=600","123811","Wall Cabinet W3042 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w3042-313/","0","0","","14","0","Pass"
"/products/wall-cabinet-w331224-314/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331224-314/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331224-314/","200","1","text/html; charset=utf-8","max-age=600","124081","Wall Cabinet W331224 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w331224-314/","0","0","","14","0","Pass"
"/products/wall-cabinet-w331524-315/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331524-315/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331524-315/","200","1","text/html; charset=utf-8","max-age=600","124081","Wall Cabinet W331524 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w331524-315/","0","0","","14","0","Pass"
"/products/wall-cabinet-w331824-316/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331824-316/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w331824-316/","200","1","text/html; charset=utf-8","max-age=600","124081","Wall Cabinet W331824 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w331824-316/","0","0","","14","0","Pass"
"/products/wall-cabinet-w3324-317/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3324-317/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3324-317/","200","1","text/html; charset=utf-8","max-age=600","123628","Wall Cabinet W3324 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w3324-317/","0","0","","14","0","Pass"
"/products/wall-cabinet-w332424-318/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w332424-318/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w332424-318/","200","1","text/html; charset=utf-8","max-age=600","124081","Wall Cabinet W332424 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w332424-318/","0","0","","14","0","Pass"
"/products/wall-cabinet-w3330-319/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3330-319/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3330-319/","200","1","text/html; charset=utf-8","max-age=600","123628","Wall Cabinet W3330 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w3330-319/","0","0","","14","0","Pass"
"/products/wall-cabinet-w3336-320/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3336-320/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3336-320/","200","1","text/html; charset=utf-8","max-age=600","123628","Wall Cabinet W3336 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w3336-320/","0","0","","14","0","Pass"
"/products/wall-cabinet-w3342-321/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3342-321/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w3342-321/","200","1","text/html; charset=utf-8","max-age=600","123628","Wall Cabinet W3342 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w3342-321/","0","0","","14","0","Pass"
"/products/wall-cabinet-w361224-322/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w361224-322/","https://kkofor.github.io/vanstro-frontend/products/wall-cabinet-w361224-322/","200","1","text/html; charset=utf-8","max-age=600","124081","Wall Cabinet W361224 | VanStro Global Supply","https://vanstro.ca/products/wall-cabinet-w361224-322/","0","0","","14","0","Pass"
