sku,parentSku,status,sourceUrl,mismatchFields,modelLocal,modelMb01,priceLocal,priceMb01,parametersResult,descriptionResult,primaryImageResult,galleryImagesResult,galleryOrderResult
"012730130","012730130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db18-274","[""galleryImages"",""galleryOrder""]","3DB18-PWMS-WH","3DB18-PWMS-WH","{""amount"":526,""currency"":""CAD""}","{""amount"":526,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012730230","012730130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db18-274","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB18-PWMS-LG","3DB18-PWMS-LG","{""amount"":526,""currency"":""CAD""}","{""amount"":526,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012740130","012740130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db21-275","[""galleryImages"",""galleryOrder""]","3DB21-PWMS-WH","3DB21-PWMS-WH","{""amount"":558,""currency"":""CAD""}","{""amount"":558,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012740230","012740130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db21-275","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB21-PWMS-LG","3DB21-PWMS-LG","{""amount"":558,""currency"":""CAD""}","{""amount"":558,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012750130","012750130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db24-276","[""galleryImages"",""galleryOrder""]","3DB24-PWMS-WH","3DB24-PWMS-WH","{""amount"":590,""currency"":""CAD""}","{""amount"":590,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012750230","012750130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db24-276","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB24-PWMS-LG","3DB24-PWMS-LG","{""amount"":590,""currency"":""CAD""}","{""amount"":590,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012770130","012770130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db30-277","[""galleryImages"",""galleryOrder""]","3DB30-PWMS-WH","3DB30-PWMS-WH","{""amount"":656,""currency"":""CAD""}","{""amount"":656,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012770230","012770130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db30-277","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB30-PWMS-LG","3DB30-PWMS-LG","{""amount"":656,""currency"":""CAD""}","{""amount"":656,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012780130","012780130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db33-278","[""galleryImages"",""galleryOrder""]","3DB33-PWMS-WH","3DB33-PWMS-WH","{""amount"":688,""currency"":""CAD""}","{""amount"":688,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012780230","012780130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db33-278","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB33-PWMS-LG","3DB33-PWMS-LG","{""amount"":688,""currency"":""CAD""}","{""amount"":688,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012790130","012790130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db36-279","[""galleryImages"",""galleryOrder""]","3DB36-PWMS-WH","3DB36-PWMS-WH","{""amount"":721,""currency"":""CAD""}","{""amount"":721,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012790230","012790130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db36-279","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB36-PWMS-LG","3DB36-PWMS-LG","{""amount"":721,""currency"":""CAD""}","{""amount"":721,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"013780130","013780130","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-lsb33-280","[""galleryImages"",""galleryOrder""]","LSB33-W-PWMS-WH","LSB33-W-PWMS-WH","{""amount"":804,""currency"":""CAD""}","{""amount"":804,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"013780230","013780130","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-lsb33-280","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","LSB33-W-PWMS-LG","LSB33-W-PWMS-LG","{""amount"":804,""currency"":""CAD""}","{""amount"":804,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"013790130","013790130","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-lsb36-281","[""galleryImages"",""galleryOrder""]","LSB36-W-PWMS-WH","LSB36-W-PWMS-WH","{""amount"":847,""currency"":""CAD""}","{""amount"":847,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"013790230","013790130","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-lsb36-281","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","LSB36-W-PWMS-LG","LSB36-W-PWMS-LG","{""amount"":847,""currency"":""CAD""}","{""amount"":847,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"014700131","014700131","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-spb9-282","[""galleryImages"",""galleryOrder""]","SPB9-PWMS-WH","SPB9-PWMS-WH","{""amount"":305,""currency"":""CAD""}","{""amount"":305,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"014700231","014700131","Mismatch","https://mb01.vanstro.ca/product/lazy-susan-base-spb9-282","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","SPB9-PWMS-LG","SPB9-PWMS-LG","{""amount"":305,""currency"":""CAD""}","{""amount"":305,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"015010130","015010130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0930-283","[""galleryImages"",""galleryOrder""]","W0930-PWMS-WH","W0930-PWMS-WH","{""amount"":126,""currency"":""CAD""}","{""amount"":126,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"015010230","015010130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0930-283","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","W0930-PWMS-LG","W0930-PWMS-LG","{""amount"":126,""currency"":""CAD""}","{""amount"":126,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"015020130","015020130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0936-284","[""galleryImages"",""galleryOrder""]","W0936-PWMS-WH","W0936-PWMS-WH","{""amount"":144,""currency"":""CAD""}","{""amount"":144,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"015020230","015020130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0936-284","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","W0936-PWMS-LG","W0936-PWMS-LG","{""amount"":144,""currency"":""CAD""}","{""amount"":144,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"015030130","015030130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0942-285","[""galleryImages"",""galleryOrder""]","W0942-PWMS-WH","W0942-PWMS-WH","{""amount"":172,""currency"":""CAD""}","{""amount"":172,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"015030230","015030130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w0942-285","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","W0942-PWMS-LG","W0942-PWMS-LG","{""amount"":172,""currency"":""CAD""}","{""amount"":172,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"015040130","015040130","Mismatch","https://mb01.vanstro.ca/product/wall-cabinet-w1230-286","[""galleryImages"",""galleryOrder""]","W1230-PWMS-WH","W1230-PWMS-WH","{""amount"":144,""currency"":""CAD""}","{""amount"":144,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
